Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Cobi Hamilton,0.0,0.0,0.0,6.4,89.4,0.9,0.0,14.4
Ryan Grant,0.0,0.1,0.0,9.0,117.2,0.4,0.2,13.9
Tanner McEvoy,0.0,0.0,0.0,4.9,73.6,1.1,0.1,13.5
Michael Campanaro,1.8,10.2,0.0,8.8,99.9,0.4,0.1,13.3
Pharoh Cooper,1.0,5.0,0.0,10.1,107.6,0.2,0.2,12.3
Myles White,0.0,-0.1,0.0,7.5,93.6,0.5,0.0,12.2
Cody Latimer,0.0,0.0,0.0,9.6,104.8,0.3,0.1,11.9
Leonte Carroo,0.0,0.0,0.0,8.0,100.5,0.2,0.1,11.3
Mack Hollins,0.0,0.0,0.0,7.7,90.3,0.3,0.0,10.8
Jonathan Krause,0.0,0.0,0.0,6.3,80.8,0.4,0.0,10.5
Corey Fuller,0.0,0.0,0.0,6.0,79.6,0.5,0.5,10.0
Seantavius Jones,0.0,0.0,0.0,5.8,72.8,0.5,0.0,10.0
DeAngelo Yancey,0.0,0.0,0.0,6.0,68.0,0.5,0.0,9.8
Ryan Switzer,1.0,4.0,0.0,7.3,86.7,0.1,0.1,9.7
Damiere Byrd,0.0,0.0,0.0,5.3,73.8,0.4,0.0,9.5
DeAndre Smelter,0.0,0.0,0.0,5.2,69.8,0.4,0.0,9.4
Trevor Davis,0.0,0.0,0.0,5.2,62.0,0.6,0.2,9.3
Brandon Tate,0.2,2.7,0.0,4.7,67.8,0.4,0.1,9.3
Quan Bray,0.1,0.5,0.0,5.8,73.7,0.3,0.0,9.2
Darius Jennings,0.0,0.0,0.0,6.0,71.5,0.3,0.0,9.1
Tre McBride,0.0,0.0,0.0,5.4,65.6,0.4,0.0,9.1
Jake Lampman,0.0,0.0,0.0,5.1,65.0,0.4,0.1,8.9
Arrelious Benn,0.0,0.0,0.0,3.0,60.4,0.5,0.1,8.7
Cody Core,0.0,0.0,0.0,7.0,81.6,0.1,0.1,8.7
David Moore,0.0,0.0,0.0,5.0,63.0,0.4,0.0,8.7
Freddie Martino,0.0,0.0,0.0,4.2,64.6,0.4,0.1,8.6
Robert Davis,0.0,0.0,0.0,5.0,70.0,0.3,0.1,8.6
Keshawn Martin,0.0,0.0,0.0,6.3,76.2,0.2,0.3,8.5
Tevaun Smith,0.0,0.0,0.0,5.0,61.0,0.4,0.0,8.5
Jeremy Butler,0.0,0.0,0.0,7.0,81.0,0.1,0.1,8.5
Donteea Dye,0.0,0.0,0.0,5.5,66.3,0.3,0.0,8.4
Paul Turner,0.0,0.0,0.0,5.9,77.7,0.1,0.1,8.2
Kalif Raymond,0.0,0.0,0.0,5.0,65.5,0.3,0.0,8.2
Chris Matthews,0.0,0.0,0.0,5.8,62.0,0.4,0.1,8.2
Brenton Bersin,0.0,0.3,0.0,6.7,88.5,0.0,0.5,8.1
Nick Williams,0.0,0.0,0.0,5.3,66.0,0.3,0.1,8.1
Aaron Dobson,0.0,0.0,0.0,5.6,66.5,0.3,0.1,8.0
Maurice Harris,0.0,0.0,0.0,6.8,73.9,0.1,0.1,8.0
Isaac Fruechte,0.0,0.0,0.0,5.0,64.8,0.3,0.0,8.0
Demarcus Ayers,0.2,1.7,0.0,4.1,51.4,0.4,0.0,7.9
Bryce Treggs,0.1,0.1,0.0,4.5,64.9,0.2,0.1,7.8
Vince Mayle,0.0,0.0,0.0,4.9,61.6,0.3,0.0,7.7
Noah Brown,0.0,0.0,0.0,4.0,55.0,0.4,0.1,7.7
Daniel Braverman,0.0,0.0,0.0,4.9,62.0,0.3,0.1,7.7
Quinton Patton,0.2,1.7,0.0,5.9,52.7,0.4,0.0,7.7
Harry Douglas,0.0,0.1,0.0,5.7,69.6,0.1,0.1,7.6
Mario Alford,0.0,0.0,0.0,4.9,60.6,0.3,0.1,7.6
Josh Huff,0.2,0.3,0.0,5.6,59.7,0.3,0.1,7.6
Rashad Ross,0.0,0.0,0.0,6.0,70.3,0.1,0.0,7.6
Wendall Williams,0.0,0.0,0.0,5.0,65.3,0.2,0.0,7.5
Stacy Coley,0.0,0.0,0.0,5.0,56.0,0.3,0.0,7.4
Rodney Adams,0.0,0.0,0.0,5.0,56.0,0.3,0.0,7.4
Shane Wynn,0.2,0.7,0.0,4.3,53.6,0.3,0.1,7.3
Shelton Gibson,0.0,0.0,0.0,5.0,54.0,0.3,0.0,7.2
Jeff Janis,0.4,2.6,0.0,5.1,63.2,0.1,0.1,7.1
Dwayne Harris,0.0,0.0,0.0,4.9,61.0,0.2,0.2,7.1
Jehu Chesson,0.0,0.0,0.0,5.3,66.8,0.1,0.1,7.0
