"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"155","Juwan Thompson","DEN","5","100","181","128.2","24.0","",""
"156","Joe Banyard","BUF","6","94","209","129.0","36.0","",""
"157","Peyton Barber","TB","11","96","210","130.5","37.6","",""
"158","Storm Johnson","MIA","11","114","147","131.0","12.5","",""
"159","Bobby Rainey","BAL","10","105","166","131.4","21.0","",""
"160","Brandon Wilds","CLE","9","91","168","131.4","22.2","",""
"161","Cedric Peerman","CIN","6","121","138","132.0","7.8","",""
"162","Aaron Green","LAR","8","100","152","133.8","18.8","",""
"163","Brandon Bolden","NE","9","68","208","135.6","47.1","",""
"164","DuJuan Harris","JAC","8","111","164","137.5","26.5","",""
"165","George Atkinson","OAK","10","113","176","137.8","19.5","",""
"166","Jay Prosch","HOU","7","123","157","138.7","14.0","",""
"167","Justin Davis","LAR","8","123","156","141.3","13.7","",""
"168","Elijhaa Penny","ARI","8","141","148","144.5","3.5","",""
"169","Tyler Gaffney","JAC","8","103","188","145.5","42.5","",""
"170","Byron Marshall","PHI","10","126","169","148.7","17.6","",""
"171","D.J. Foster","NE","9","117","200","149.0","36.5","",""
"172","David Fluellen","TEN","8","143","159","149.0","7.1","",""
"173","Glenn Gronkowski","NE","9","92","207","149.5","57.5","",""
"174","Stevan Ridley","DEN","5","111","205","154.3","38.7","",""
"175","CJ Ham","MIN","9","154","159","156.5","2.5","",""
"176","Troymaine Pope","IND","11","144","202","168.7","24.5","",""
"177","Raheem Mostert","SF","11","154","192","173.0","19.0","",""
"178","James Develin","NE","9","149","206","177.5","28.5","",""
""
""
