"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"65","Devin Funchess","CAR","11","39","92","66.1","8.7","71.0","+6.0"
"66","Taylor Gabriel","ATL","5","48","83","63.9","6.7","56.0","-10.0"
"67","Marqise Lee","JAC","8","49","84","64.2","7.0","72.0","+5.0"
"68","John Ross","CIN","6","48","101","67.9","10.7","55.0","-13.0"
"69","Torrey Smith","PHI","10","44","94","71.6","11.3","75.0","+6.0"
"70","Kendall Wright","CHI","9","44","105","74.1","13.6","",""
"71","Allen Hurns","JAC","8","43","90","67.8","8.2","68.0","-3.0"
"72","Malcolm Mitchell","NE","9","44","122","74.5","13.4","74.0","+2.0"
"73","Mike Williams","LAC","9","43","130","78.9","16.9","70.0","-3.0"
"74","Mohamed Sanu","ATL","5","35","97","69.2","9.3","61.0","-13.0"
"75","Danny Amendola","NE","9","49","138","77.9","18.7","63.0","-12.0"
"76","Paul Richardson","SEA","6","49","110","77.8","11.9","84.0","+8.0"
"77","Tavon Austin","LAR","8","47","98","74.0","9.6","76.0","-1.0"
"78","Nelson Agholor","PHI","10","50","110","74.5","12.7","87.0","+9.0"
"79","Will Fuller","HOU","7","52","117","77.8","12.9","78.0","-1.0"
"80","Jaron Brown","ARI","8","50","137","84.9","16.6","93.0","+13.0"
"81","Jeremy Kerley","SF","11","44","120","86.2","12.0","106.0","+25.0"
"82","Chris Conley","KC","10","52","103","75.8","9.5","86.0","+4.0"
