Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
Leonte Carroo,0.0,0.0,0.0,8.0,100.5,0.2,0.1,11.05,-104.793333333,,21.8
Mack Hollins,0.0,0.0,0.0,7.7,90.3,0.3,0.0,10.83,-105.013333333,,18.5
Jonathan Krause,0.0,0.0,0.0,6.3,80.8,0.4,0.0,10.48,-105.363333333,,
Corey Fuller,0.0,0.0,0.0,6.0,79.6,0.5,0.5,9.96,-105.883333333,,27.8
Seantavius Jones,0.0,0.0,0.0,5.8,72.8,0.5,0.0,10.28,-105.563333333,,63.5
DeAngelo Yancey,0.0,0.0,0.0,6.0,68.0,0.5,0.0,9.8,-106.043333333,,60.2
Ryan Switzer,1.0,4.0,0.0,7.3,86.7,0.1,0.1,9.47,-106.373333333,,45.9
Damiere Byrd,0.0,0.0,0.0,5.3,73.8,0.4,0.0,9.78,-106.063333333,,27.6
DeAndre Smelter,0.0,0.0,0.0,5.2,69.8,0.4,0.0,9.38,-106.463333333,,26.9
Trevor Davis,0.0,0.0,0.0,5.2,62.0,0.6,0.2,9.4,-106.443333333,,21.7
Brandon Tate,0.2,2.7,0.0,4.7,67.8,0.4,0.1,9.25,-106.593333333,,17.9
Quan Bray,0.1,0.5,0.0,5.8,73.7,0.3,0.0,9.22,-106.623333333,,9.4
Darius Jennings,0.0,0.0,0.0,6.0,71.5,0.3,0.0,8.95,-106.893333333,,98.0
Tre McBride,0.0,0.0,0.0,5.4,65.6,0.4,0.0,8.96,-106.883333333,,90.5
Jake Lampman,0.0,0.0,0.0,5.1,65.0,0.4,0.1,8.7,-107.143333333,,
Arrelious Benn,0.0,0.0,0.0,3.0,60.4,0.5,0.1,8.84,-107.003333333,,21.1
Cody Core,0.0,0.0,0.0,7.0,81.6,0.1,0.1,8.56,-107.283333333,,14.1
David Moore,0.0,0.0,0.0,5.0,63.0,0.4,0.0,8.7,-107.143333333,,
Freddie Martino,0.0,0.0,0.0,4.2,64.6,0.4,0.1,8.66,-107.183333333,,10.3
Robert Davis,0.0,0.0,0.0,5.0,70.0,0.3,0.1,8.6,-107.243333333,,58.3
Keshawn Martin,0.0,0.0,0.0,6.3,76.2,0.2,0.3,8.22,-107.623333333,,35.1
Tevaun Smith,0.0,0.0,0.0,5.0,61.0,0.4,0.0,8.5,-107.343333333,,
Jeremy Butler,0.0,0.0,0.0,7.0,81.0,0.1,0.1,8.5,-107.343333333,,49.3
Donteea Dye,0.0,0.0,0.0,5.5,66.3,0.3,0.0,8.43,-107.413333333,,81.6
Paul Turner,0.0,0.0,0.0,5.9,77.7,0.1,0.1,8.17,-107.673333333,,21.4
Kalif Raymond,0.0,0.0,0.0,5.0,65.5,0.3,0.0,8.35,-107.493333333,,
Chris Matthews,0.0,0.0,0.0,5.8,62.0,0.4,0.1,8.4,-107.443333333,,19.3
Brenton Bersin,0.0,0.3,0.0,6.7,88.5,0.0,0.5,7.88,-107.963333333,,10.5
Nick Williams,0.0,0.0,0.0,5.3,66.0,0.3,0.1,8.2,-107.643333333,,5.4
Aaron Dobson,0.0,0.0,0.0,5.6,66.5,0.3,0.1,8.25,-107.593333333,,14.0
Maurice Harris,0.0,0.0,0.0,6.8,73.9,0.1,0.1,7.79,-108.053333333,,33.0
Isaac Fruechte,0.0,0.0,0.0,5.0,64.8,0.3,0.0,8.28,-107.563333333,,
Demarcus Ayers,0.2,1.7,0.0,4.1,51.4,0.4,0.0,7.71,-108.133333333,,0.0
Bryce Treggs,0.1,0.1,0.0,4.5,64.9,0.2,0.1,7.5,-108.343333333,,7.1
Vince Mayle,0.0,0.0,0.0,4.9,61.6,0.3,0.0,7.96,-107.883333333,,113.5
Noah Brown,0.0,0.0,0.0,4.0,55.0,0.4,0.1,7.7,-108.143333333,,16.2
Daniel Braverman,0.0,0.0,0.0,4.9,62.0,0.3,0.1,7.8,-108.043333333,,4.6
Quinton Patton,0.2,1.7,0.0,5.9,52.7,0.4,0.0,7.84,-108.003333333,,19.4
Harry Douglas,0.0,0.1,0.0,5.7,69.6,0.1,0.1,7.37,-108.473333333,,23.9
Mario Alford,0.0,0.0,0.0,4.9,60.6,0.3,0.1,7.66,-108.183333333,,75.0
Josh Huff,0.2,0.3,0.0,5.6,59.7,0.3,0.1,7.6,-108.243333333,,7.5
Rashad Ross,0.0,0.0,0.0,6.0,70.3,0.1,0.0,7.63,-108.213333333,,49.5
Wendall Williams,0.0,0.0,0.0,5.0,65.3,0.2,0.0,7.73,-108.113333333,,27.3
Stacy Coley,0.0,0.0,0.0,5.0,56.0,0.3,0.0,7.4,-108.443333333,,23.5
Rodney Adams,0.0,0.0,0.0,5.0,56.0,0.3,0.0,7.4,-108.443333333,,18.9
Shane Wynn,0.2,0.7,0.0,4.3,53.6,0.3,0.1,7.03,-108.813333333,,
Shelton Gibson,0.0,0.0,0.0,5.0,54.0,0.3,0.0,7.2,-108.643333333,,42.2
Jeff Janis,0.4,2.6,0.0,5.1,63.2,0.1,0.1,6.98,-108.863333333,,23.1
Dwayne Harris,0.0,0.0,0.0,4.9,61.0,0.2,0.2,6.9,-108.943333333,,61.5
Jehu Chesson,0.0,0.0,0.0,5.3,66.8,0.1,0.1,7.08,-108.763333333,,19.7
Tommylee Lewis,0.1,0.3,0.0,5.9,66.4,0.1,0.1,7.07,-108.773333333,,12.0
Jeremy Ross,0.2,0.6,0.0,5.0,57.9,0.2,0.0,7.05,-108.793333333,,22.3
Jordan Payton,0.0,0.0,0.0,5.3,61.7,0.1,0.0,6.77,-109.073333333,,14.2
Aaron Burbridge,0.0,0.0,0.0,5.2,66.3,0.1,0.2,6.83,-109.013333333,,17.3
Trent Taylor,0.0,0.0,0.0,5.0,60.3,0.1,0.1,6.43,-109.413333333,,29.0
Josh Bellamy,0.0,0.2,0.0,4.0,54.3,0.2,0.1,6.45,-109.393333333,,17.2
Frankie Hammond,0.0,0.0,0.0,4.9,57.1,0.3,0.4,6.71,-109.133333333,,
Tavarres King,0.0,0.0,0.0,4.3,56.4,0.1,0.0,6.24,-109.603333333,,
Brittan Golden,0.0,0.0,0.0,4.3,44.7,0.4,0.4,6.07,-109.773333333,,3.0
Isaiah Burse,0.0,0.0,0.0,4.3,52.3,0.1,0.0,5.83,-110.013333333,,4.0
