RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
133,Geronimo Allison,0/0,0,0,0,0.0,0.0,0.0,6.2,85.4,0.7,18.8
134,De'Anthony Thomas,0/0,0,0,0,1.9,12.0,0.1,6.9,64.1,0.3,17.8
135,Bennie Fowler,0/0,0,0,0,0.0,0.0,0.0,6.7,84.3,0.4,17.5
137,Jarius Wright,0/0,0,0,0,0.0,0.0,0.0,6.7,82.7,0.3,16.8
138,Josh Bellamy,0/0,0,0,0,0.0,0.0,0.0,6.0,72.8,0.5,16.1
140,Austin Carr,0/0,0,0,0,0.0,0.0,0.0,5.4,66.7,0.5,15.1
141,Jace Billingsley,0/0,0,0,0,0.0,0.0,0.0,5.4,69.5,0.5,15.1
142,Amara Darboh,0/0,0,0,0,0.0,0.0,0.0,4.5,57.1,0.4,12.7
143,Leonte Carroo,0/0,0,0,0,0.0,0.0,0.0,4.4,54.3,0.4,12.2
144,Jehu Chesson,0/0,0,0,0,0.0,0.0,0.0,4.6,55.9,0.3,12.0
145,Isaiah McKenzie,0/0,0,0,0,0.0,0.0,0.0,3.4,42.7,0.2,10.8
146,Tommylee Lewis,0/0,0,0,0,4.0,25.5,0.2,2.0,25.5,0.2,9.8
147,Tavarres King,0/0,0,0,0,0.0,0.0,0.0,3.6,45.1,0.3,9.8
148,Justin Hunter,0/0,0,0,0,0.0,0.0,0.0,3.5,44.2,0.3,9.7
149,Darrius Heyward-Bey,0/0,0,0,0,0.0,0.0,0.0,3.5,44.2,0.3,9.6
150,Kamar Aiken,0/0,0,0,0,0.0,0.0,0.0,3.5,41.7,0.3,9.5
151,Brandon Tate,0/0,0,0,0,0.0,0.0,0.0,2.9,37.8,0.2,9.4
152,Damiere Byrd,0/0,0,0,0,0.0,0.0,0.0,3.2,41.5,0.2,9.1
153,Aaron Burbridge,0/0,0,0,0,0.0,0.0,0.0,3.4,43.3,0.2,8.8
154,Dwayne Harris,0/0,0,0,0,0.0,0.0,0.0,1.8,22.6,0.1,8.2
155,Tajae Sharpe,0/0,0,0,0,0.0,0.0,0.0,2.9,36.6,0.3,8.2
156,Josh Reynolds,0/0,0,0,0,0.0,0.0,0.0,3.1,39.2,0.2,8.1
157,Jakeem Grant,0/0,0,0,0,0.0,0.0,0.0,1.5,18.1,0.1,7.5
